Time [s],Voltage [V]
,
1.06,-68
1.064,-68
1.068,-68
1.072,-68
1.076,-68
1.08,-68
1.084,-66
1.088,-68
1.092,-66
1.096,-66
1.1,-66
1.104,-66
1.108,-66
1.112,-64
1.116,-64
1.12,-64
1.124,-64
1.128,-62
1.132,-62
1.136,-62
1.14,-62
1.144,-60
1.148,-60
1.152,-60
1.156,-60
1.16,-58
1.164,-58
1.168,-60
1.172,-58
1.176,-58
1.18,-58
1.184,-58
1.188,-56
1.192,-56
1.196,-56
1.2,-56
1.204,-56
1.208,-56
1.212,-54
1.216,-54
1.22,-54
1.224,-54
1.228,-52
1.232,-52
1.236,-52
1.24,-52
1.244,-50
1.248,-50
1.252,-50
1.256,-50
1.26,-48
1.264,-50
1.268,-48
1.272,-48
1.276,-48
1.28,-48
1.284,-48
1.288,-48
1.292,-46
1.296,-46
1.3,-44
1.304,-44
1.308,-46
1.312,-44
1.316,-44
1.32,-42
1.324,-42
1.328,-42
1.332,-42
1.336,-42
1.34,-40
1.344,-42
1.348,-40
1.352,-40
1.356,-40
1.36,-40
1.364,-38
1.368,-40
1.372,-38
1.376,-36
1.38,-38
1.384,-36
1.388,-36
1.392,-36
1.396,-36
1.4,-36
1.404,-34
1.408,-34
1.412,-34
1.416,-32
1.42,-32
1.424,-32
1.428,-32
1.432,-32
1.436,-32
1.44,-32
1.444,-32
1.448,-30
1.452,-30
1.456,-30
1.46,-30
1.464,-30
1.468,-28
1.472,-28
1.476,-28
1.48,-28
1.484,-26
1.488,-28
1.492,-26
1.496,-26
1.5,-26
1.504,-26
1.508,-26
1.512,-24
1.516,-22
1.52,-22
1.524,-22
1.528,-22
1.532,-22
1.536,-22
1.54,-22
1.544,-20
1.548,-20
1.552,-20
1.556,-20
1.56,-18
1.564,-18
1.568,-18
1.572,-18
1.576,-18
1.58,-18
1.584,-16
1.588,-16
1.592,-16
1.596,-16
1.6,-16
1.604,-14
1.608,-14
1.612,-14
1.616,-14
1.62,-14
1.624,-12
1.628,-12
1.632,-12
1.636,-12
1.64,-12
1.644,-12
1.648,-10
1.652,-10
1.656,-10
1.66,-10
1.664,-10
1.668,-8
1.672,-8
1.676,-8
1.68,-6
1.684,-6
1.688,-6
1.692,-6
1.696,-6
1.7,-4
1.704,-4
1.708,-4
1.712,-4
1.716,-4
1.72,-4
1.724,-2
1.728,-4
1.732,-2
1.736,-2
1.74,0
1.744,-2
1.748,0
1.752,0
1.756,2
1.76,0
1.764,2
1.768,2
1.772,2
1.776,2
1.78,4
1.784,4
1.788,4
1.792,4
1.796,6
1.8,6
1.804,6
1.808,6
1.812,6
1.816,6
1.82,6
1.824,6
1.828,8
1.832,8
1.836,8
1.84,10
1.844,10
1.848,10
1.852,10
1.856,10
1.86,12
1.864,10
1.868,12
1.872,12
1.876,14
1.88,14
1.884,14
1.888,14
1.892,16
1.896,16
1.9,16
1.904,16
1.908,16
1.912,18
1.916,16
1.92,18
1.924,18
1.928,18
1.932,18
1.936,18
1.94,18
1.944,20
1.948,20
1.952,20
1.956,20
1.96,22
1.964,22
1.968,22
1.972,24
1.976,22
1.98,24
1.984,24
1.988,24
1.992,24
1.996,26
2,26
2.004,26
2.008,26
2.012,26
2.016,28
2.02,28
2.024,28
2.028,28
2.032,28
2.036,30
2.04,30
2.044,30
2.048,32
2.052,32
2.056,32
2.06,32
2.064,32
2.068,32
2.072,32
2.076,34
2.08,34
2.084,34
2.088,34
2.092,36
2.096,36
2.1,36
2.104,36
2.108,36
2.112,38
2.116,38
2.12,38
2.124,38
2.128,40
2.132,40
2.136,40
2.14,40
2.144,40
2.148,40
2.152,40
2.156,42
2.16,42
2.164,42
2.168,42
2.172,42
2.176,44
2.18,44
2.184,44
2.188,46
2.192,46
2.196,46
2.2,46
2.204,46
2.208,48
2.212,46
2.216,48
2.22,48
2.224,48
2.228,50
2.232,50
2.236,50
2.24,50
2.244,50
2.248,50
2.252,52
