Time [s],Voltage [V]
2.344,-18
2.348,-19
2.352,-20.4
2.356,-22
2.36,-23.2
2.364,-24
2.368,-24.8
2.372,-25
2.376,-24.8
2.38,-24.6
2.384,-24
2.388,-23.4
2.392,-22.8
2.396,-22
2.4,-21.4
2.404,-20.8
2.408,-20.2
2.412,-19.8
2.416,-19.2
2.42,-18.6
2.424,-18.4
2.428,-18.2
2.432,-18
2.436,-17.8
2.44,-17.6
2.444,-17.6
2.448,-17.4
2.452,-17.2
2.456,-17.4
2.46,-17.4
2.464,-17.2
2.468,-17.4
2.472,-17.6
2.476,-17.4
2.48,-17.6
2.484,-17.6
2.488,-17.6
2.492,-17.6
2.496,-17.4
2.5,-17.6
2.504,-17.4
2.508,-17.4
2.512,-17.6
2.516,-17.8
2.52,-17.6
2.524,-17.6
2.528,-17.6
2.532,-17.6
2.536,-17.6
2.54,-17.6
2.544,-17.6
2.548,-17.6
2.552,-17.6
2.556,-17.6
2.56,-17.8
2.564,-17.8
2.568,-17.6
2.572,-17.6
2.576,-17.8
2.58,-17.6
2.584,-17.8
2.588,-17.8
2.592,-17.8
2.596,-17.6
2.6,-17.6
2.604,-17.6
2.608,-17.8
2.612,-17.8
2.616,-17.6
2.62,-17.8
2.624,-17.6
2.628,-17.8
2.632,-17.8
2.636,-17.8
2.64,-17.8
2.644,-17.8
2.648,-17.8
2.652,-18
2.656,-17.8
2.66,-17.8
2.664,-17.8
2.668,-18
2.672,-17.6
2.676,-17.8
2.68,-18
2.684,-17.8
2.688,-17.8
2.692,-18
2.696,-17.8
2.7,-17.8
2.704,-17.8
2.708,-18
2.712,-17.6
2.716,-17.8
2.72,-17.8
2.724,-18
2.728,-18
2.732,-18
2.736,-18
2.74,-18
2.744,-18
2.748,-18
2.752,-18.2
2.756,-18
2.76,-18
2.764,-18.2
2.768,-18
2.772,-18
2.776,-18.2
2.78,-18
2.784,-18.2
2.788,-18
2.792,-18.2
2.796,-18.2
2.8,-18.2
2.804,-18.2
2.808,-18.2
2.812,-18.2
2.816,-18.4
2.82,-18
2.824,-18
2.828,-18.2
2.832,-18.4
2.836,-18.2
2.84,-18.4
2.844,-18.4
2.848,-18.4
2.852,-18.2
2.856,-18.2
2.86,-18.4
2.864,-18.4
2.868,-18.6
2.872,-18.4
2.876,-18.4
2.88,-18.4
2.884,-18.6
2.888,-18.6
2.892,-18.6
2.896,-18.6
2.9,-18.6
2.904,-18.8
2.908,-18.8
2.912,-18.6
2.916,-18.6
2.92,-19
2.924,-18.8
2.928,-18.8
2.932,-19
2.936,-18.8
2.94,-19
2.944,-19
2.948,-19
2.952,-19
2.956,-19
2.96,-19
2.964,-19.2
2.968,-19.2
2.972,-19
2.976,-19.2
2.98,-19
2.984,-19.2
2.988,-19.4
2.992,-19.2
2.996,-19.4
3,-19.4
3.004,-19.4
3.008,-19.4
3.012,-19.6
3.016,-19.6
3.02,-19.8
3.024,-19.8
3.028,-19.6
3.032,-19.8
3.036,-19.8
3.04,-20
3.044,-20
3.048,-20
3.052,-20
3.056,-20
3.06,-20
3.064,-20.4
3.068,-20.2
3.072,-20.4
3.076,-20.4
3.08,-20.4
3.084,-20.4
3.088,-20.4
3.092,-20.6
3.096,-20.6
3.1,-20.8
3.104,-20.6
3.108,-20.8
3.112,-20.8
3.116,-20.8
3.12,-21.2
3.124,-21
3.128,-21.2
3.132,-21.2
3.136,-21.4
3.14,-21.4
3.144,-21.4
3.148,-21.4
3.152,-21.6
3.156,-21.6
3.16,-21.8
3.164,-21.8
3.168,-21.8
3.172,-22.2
3.176,-22.2
3.18,-22.4
3.184,-22.4
3.188,-22.4
3.192,-22.6
3.196,-22.6
3.2,-22.8
3.204,-22.8
3.208,-23.2
3.212,-23.2
3.216,-23.2
3.22,-23.4
3.224,-23.6
3.228,-23.6
3.232,-23.8
3.236,-24
3.24,-24
3.244,-24.2
3.248,-24.4
3.252,-24.4
3.256,-24.4
3.26,-24.6
3.264,-25
3.268,-25
3.272,-25
3.276,-25.4
3.28,-25.2
