Time [s],Voltage [V]
0.01,0.2
0.02,0.22
0.03,0.18
0.04,0.16
0.05,0.14
0.06,0.14
0.07,0.12
0.08,0.14
0.09,0.14
0.1,0.08
0.11,0.06
0.12,0.06
0.13,0.04
0.14,0.06
0.15,0.06
0.16,0.04
0.17,0
0.18,-0.02
0.19,-0.02
0.2,-0.02
0.21,-0.02
0.22,-0.04
0.23,-0.04
0.24,-0.02
0.25,-0.06
0.26,-0.1
0.27,-0.14
0.28,-0.16
0.29,-0.2
0.3,-0.24
0.31,-0.26
0.32,-0.28
0.33,-0.3
0.34,-0.34
0.35,-0.36
0.36,-0.44
0.37,-0.46
0.38,-0.5
0.39,-0.58
0.4,-0.64
0.41,-0.66
0.42,-0.7
0.43,-0.76
0.44,-0.8
0.45,-0.84
0.46,-0.9
0.47,-0.96
0.48,-1
0.49,-1.04
0.5,-1.16
0.51,-1.18
0.52,-1.28
0.53,-1.34
0.54,-1.4
0.55,-1.46
0.56,-1.52
0.57,-1.62
0.58,-1.7
0.59,-1.74
0.6,-1.84
0.61,-1.88
0.62,-1.94
0.63,-1.96
0.64,-2.02
0.65,-2.12
0.66,-2.18
0.67,-2.24
0.68,-2.3
0.69,-2.32
0.7,-2.36
0.71,-2.38
0.72,-2.44
0.73,-2.46
0.74,-2.52
0.75,-2.56
0.76,-2.64
0.77,-2.64
0.78,-2.68
0.79,-2.68
0.8,-2.7
0.81,-2.7
0.82,-2.76
0.83,-2.74
0.84,-2.74
0.85,-2.74
0.86,-2.72
0.87,-2.7
0.88,-2.66
0.89,-2.64
0.9,-2.6
0.91,-2.6
0.92,-2.58
0.93,-2.54
0.94,-2.54
0.95,-2.48
0.96,-2.46
0.97,-2.4
0.98,-2.34
0.99,-2.32
1,-2.22
1.01,-2.22
1.02,-2.16
1.03,-2.12
1.04,-2.06
1.05,-1.98
1.06,-1.94
1.07,-1.84
1.08,-1.78
1.09,-1.74
1.1,-1.66
1.11,-1.64
1.12,-1.56
1.13,-1.56
1.14,-1.54
1.15,-1.48
1.16,-1.46
1.17,-1.42
1.18,-1.34
1.19,-1.26
1.2,-1.2
1.21,-1.14
1.22,-1.06
1.23,-1.04
1.24,-1
1.25,-0.92
1.26,-0.88
1.27,-0.86
1.28,-0.84
1.29,-0.84
1.3,-0.8
1.31,-0.78
1.32,-0.72
1.33,-0.64
1.34,-0.6
1.35,-0.56
1.36,-0.54
1.37,-0.5
1.38,-0.52
1.39,-0.5
1.4,-0.48
1.41,-0.44
1.42,-0.42
1.43,-0.4
1.44,-0.36
1.45,-0.36
1.46,-0.34
1.47,-0.34
1.48,-0.32
1.49,-0.34
